Protein,HSA+AAG,,HSA Only,,AAG Only,
1,94.1,96.7,105.823068,97.4106042,87.9144385,95.6
0.5,105,96.4,95.9070796,89.9538106,88.4761905,86.3
0.25,99.1,89.7,108.677686,94.5725916,53.1428571,58.6065574
0.125,106,105,96.8277946,97.0760234,51.4902364,59.9391481
0.0625,78.7,71.8,72.8629579,75.802139,45.9259259,46.372549
0.03125,61.2,65.6,60.1671309,66.1179698,29.4495413,31.3157895
0.015625,44.2,52.4,50.5154639,55.6509299,34.1441441,33.2142857
0.0078125,39.1,37,38.1727159,44.1958042,36.4356436,43.1818182
0.00390625,29.8,33.6,35.5658199,34.9187935,27.2727273,29.8198198
0.00195313,28.8,32.2,35.9042553,42.8366762,28.2608696,29.2248062
0.00097656,29.7,33.5,37.7094972,37.7118644,33.4821429,30.7826087
0.00048828,26.7,27.5,31.2354312,28.9504037,30.1754386,30
0.00024414,28.6,31,40.2739726,42.2125182,28.0833333,32.0661157
0.00012207,35.1,39,35.0189633,36.0107095,34.1071429,35.5555556
0.000061035,26.1,24.7,36.5979381,32.5396825,31.25,31.6666667
0.000030518,29.1,32.5,39.1853933,43.7945792,30.5128205,30.5555556
0.000015259,35.9,36.3,33.7801609,35.9893758,37.1962617,35.0980392
7.63E-06,28.2,25,35.9042553,37.1120108,30.8490566,25.5
3.81E-06,30.6,26.8,33.5435057,33.8501292,26.4925373,28.0733945
1.91E-06,39.2,29.3,38.8961892,33.836478,35.1456311,27.76
